Entity Name,Plant State,Technology,Nameplate Capacity (MW),County,Sector,Operating Year
City of Salem - (VA),VA,Petroleum Liquids,2.0,Salem City,Commercial Non-CHP,2003.0
City of Salem - (VA),VA,Petroleum Liquids,1.8,Salem City,Commercial Non-CHP,2005.0
"Flat Rock Windpower, LLC",NY,Onshore Wind Turbine,137.0,Lewis,IPP Non-CHP,2005.0
"Flat Rock Windpower, LLC",NY,Onshore Wind Turbine,61.1,Lewis,IPP Non-CHP,2006.0
"Flat Rock Windpower, LLC",NY,Onshore Wind Turbine,33.0,Lewis,IPP Non-CHP,2006.0
"Flat Rock Windpower, LLC",NY,Onshore Wind Turbine,90.1,Lewis,IPP Non-CHP,2006.0
FPL Energy Horse Hollow LLC,TX,Onshore Wind Turbine,213.0,Taylor,IPP Non-CHP,2005.0
FPL Energy Horse Hollow LLC,TX,Onshore Wind Turbine,223.5,Taylor,IPP Non-CHP,2006.0
FPL Energy Horse Hollow LLC,TX,Onshore Wind Turbine,299.0,Taylor,IPP Non-CHP,2006.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2007.0
North Carolina El Member Corp,NC,Natural Gas Fired Combustion Turbine,57.3,Richmond,Electric Utility,2013.0
"Leeward Asset Management, LLC",CA,Onshore Wind Turbine,50.0,San Diego,IPP Non-CHP,2005.0
Avangrid Power LLC,MN,Onshore Wind Turbine,100.5,Martin,IPP Non-CHP,2005.0
"Leeward Asset Management, LLC",IL,Onshore Wind Turbine,53.0,Bureau,IPP Non-CHP,2005.0
City of Roseville - (CA),CA,Natural Gas Fired Combined Cycle,40.0,Placer,Electric Utility,2007.0
City of Roseville - (CA),CA,Natural Gas Fired Combined Cycle,40.0,Placer,Electric Utility,2007.0
City of Roseville - (CA),CA,Natural Gas Fired Combined Cycle,85.0,Placer,Electric Utility,2007.0
City of Roseville - (CA),CA,Natural Gas Fired Combustion Turbine,30.0,Placer,Electric Utility,2022.0
City of Roseville - (CA),CA,Natural Gas Fired Combustion Turbine,30.0,Placer,Electric Utility,2022.0
Terra-Gen Operating Co-Wind,CA,Onshore Wind Turbine,60.3,Kern,IPP Non-CHP,2004.0
Consolidated Edison Development Inc.,MN,Onshore Wind Turbine,13.5,Mower,IPP Non-CHP,2003.0
Consolidated Edison Development Inc.,MN,Onshore Wind Turbine,9.8,Mower,IPP Non-CHP,2004.0
"Leeward Asset Management, LLC",TX,Onshore Wind Turbine,135.0,Nolan,IPP Non-CHP,2005.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.5,Bedford,Industrial Non-CHP,1983.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.5,Bedford,Industrial Non-CHP,1983.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.5,Bedford,Industrial Non-CHP,1983.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.6,Lynchburg City,Industrial Non-CHP,1920.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.6,Lynchburg City,Industrial Non-CHP,1920.0
Holcomb Rock Company,VA,Conventional Hydroelectric,0.6,Lynchburg City,Industrial Non-CHP,1920.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Niagara,IPP Non-CHP,2006.0
